"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.1","±0.6","±0.5","±0.2","±0.2","±0.2","±0.3","±0.3","±0.4","±0.4","±0.2","±0.4","±0.4","(X)","±0.3","±0.6","±0.4","±0.1","(X)","±0.2","±0.2","(X)","±0.4","±0.4","","(X)","±0.7","±0.7","±0.7","±1.1","±0.3","±0.4","±0.1","±0.1","±0.1","±0.1","±0.3","±0.1","±0.3","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1.1","±0.7","±0.2","±0.2","±0.3","±0.1","","(X)","±1.1","±0.2","±0.4","±0.3","±0.2","±1.1","","(X)","*****","±0.5","±0.1","±0.2","±0.5","*****","±0.2","±0.3","±0.2","±0.2","±0.1","±0.1","±0.4","±0.1","±0.4","(X)","","(X)","±0.4","±0.4"
"Whatcom County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","209,729","103,878","105,851","11,578","11,397","11,906","14,703","23,448","26,935","24,308","25,828","13,458","13,721","19,602","8,944","3,901","36.8","167,597","154,847","40,750","32,447","167,597","82,269","85,328","32,447","15,044","17,403","","209,729","201,300","8,429","201,300","177,367","2,059","6,455","239","171","50","23","8,401","1,891","1,379","1,350","1,028","781","856","1,116","610","264","72","107","167","6,408","8,429","1,476","1,987","2,737","68","","209,729","185,106","3,857","8,978","11,972","1,244","7,609","","209,729","18,517","14,128","551","258","3,580","191,212","168,060","1,958","5,754","8,365","579","170","6,326","137","6,189","92,586","","157,658","77,776","79,882"
"    Margin of Error","","*****","±100","±100","±14","±645","±633","±111","±151","±132","±132","±120","±599","±598","±155","±347","±336","±0.2","±8","±648","±629","±73","±8","±69","±70","±73","±55","±41","","*****","±679","±679","±679","±893","±217","±386","±208","±155","±50","±34","±403","±489","±305","±329","±429","±356","±355","±412","±99","±107","±43","±58","±94","±842","±679","±307","±402","±422","±44","","*****","±901","±268","±422","±168","±253","±882","","*****","*****","±699","±207","±184","±646","*****","±102","±207","±308","±408","±77","±98","±498","±107","±496","±171","","±860","±576","±526"
"    Percent","","209,729","49.5%","50.5%","5.5%","5.4%","5.7%","7.0%","11.2%","12.8%","11.6%","12.3%","6.4%","6.5%","9.3%","4.3%","1.9%","(X)","79.9%","73.8%","19.4%","15.5%","167,597","49.1%","50.9%","32,447","46.4%","53.6%","","209,729","96.0%","4.0%","96.0%","84.6%","1.0%","3.1%","0.1%","0.1%","0.0%","0.0%","4.0%","0.9%","0.7%","0.6%","0.5%","0.4%","0.4%","0.5%","0.3%","0.1%","0.0%","0.1%","0.1%","3.1%","4.0%","0.7%","0.9%","1.3%","0.0%","","209,729","88.3%","1.8%","4.3%","5.7%","0.6%","3.6%","","209,729","8.8%","6.7%","0.3%","0.1%","1.7%","91.2%","80.1%","0.9%","2.7%","4.0%","0.3%","0.1%","3.0%","0.1%","3.0%","(X)","","157,658","49.3%","50.7%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.2","±0.2","(X)","±0.1","±0.3","±0.3","±0.1","(X)","±0.1","±0.1","(X)","±0.1","±0.1","","(X)","±0.3","±0.3","±0.3","±0.4","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.2","±0.2","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.4","±0.3","±0.1","±0.2","±0.2","±0.1","","(X)","±0.4","±0.1","±0.2","±0.1","±0.1","±0.4","","(X)","*****","±0.3","±0.1","±0.1","±0.3","*****","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2","±0.1","±0.2","(X)","","(X)","±0.2","±0.2"
"Whitman County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","47,494","24,138","23,356","2,036","1,873","2,210","7,065","11,390","6,337","3,927","3,888","2,179","1,956","2,622","1,390","621","24.2","40,317","30,471","5,753","4,633","40,317","20,485","19,832","4,633","2,135","2,498","","47,494","45,292","2,202","45,292","39,433","962","243","21","4","0","59","3,774","584","1,730","285","241","332","182","420","42","34","0","8","0","838","2,202","312","534","748","92","","47,494","41,354","1,530","926","4,767","285","947","","47,494","2,681","2,109","131","27","414","44,813","37,902","950","164","3,732","42","54","1,969","51","1,918","19,886","","37,146","18,676","18,470"
"    Margin of Error","","*****","±136","±136","±52","±177","±173","±289","±239","±111","±139","±142","±199","±168","±67","±108","±106","±0.3","*****","±491","±136","±79","*****","±85","±85","±79","±37","±60","","*****","±338","±338","±338","±222","±150","±110","±25","±5","±25","±71","±254","±237","±276","±175","±142","±150","±124","±177","±56","±54","±25","±15","±25","±193","±338","±110","±113","±223","±115","","*****","±362","±112","±168","±122","±100","±204","","*****","*****","±165","±101","±23","±132","*****","±84","±144","±62","±249","±56","±73","±300","±50","±298","±194","","±374","±291","±221"
"    Percent","","47,494","50.8%","49.2%","4.3%","3.9%","4.7%","14.9%","24.0%","13.3%","8.3%","8.2%","4.6%","4.1%","5.5%","2.9%","1.3%","(X)","84.9%","64.2%","12.1%","9.8%","40,317","50.8%","49.2%","4,633","46.1%","53.9%","","47,494","95.4%","4.6%","95.4%","83.0%","2.0%","0.5%","0.0%","0.0%","0.0%","0.1%","7.9%","1.2%","3.6%","0.6%","0.5%","0.7%","0.4%","0.9%","0.1%","0.1%","0.0%","0.0%","0.0%","1.8%","4.6%","0.7%","1.1%","1.6%","0.2%","","47,494","87.1%","3.2%","1.9%","10.0%","0.6%","2.0%","","47,494","5.6%","4.4%","0.3%","0.1%","0.9%","94.4%","79.8%","2.0%","0.3%","7.9%","0.1%","0.1%","4.1%","0.1%","4.0%","(X)","","37,146","50.3%","49.7%"
"    Percent Margin of Error","","(X)","±0.3","±0.3","±0.1","±0.4","±0.4","±0.6","±0.5","±0.2","±0.3","±0.3","±0.4","±0.4","±0.1","±0.2","±0.2","(X)","*****","±1.0","±0.3","±0.2","(X)","±0.2","±0.2","(X)","±0.6","±0.6","","(X)","±0.7","±0.7","±0.7","±0.5","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.5","±0.5","±0.6","±0.4","±0.3","±0.3","±0.3","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.4","±0.7","±0.2","±0.2","±0.5","±0.2","","(X)","±0.8","±0.2","±0.4","±0.3","±0.2","±0.4","","(X)","*****","±0.3","±0.2","±0.1","±0.3","*****","±0.2","±0.3","±0.1","±0.5","±0.1","±0.2","±0.6","±0.1","±0.6","(X)","","(X)","±0.5","±0.5"
"Yakima County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","247,681","123,899","123,782","20,933","21,562","19,998","18,938","17,645","32,013","29,438","28,858","14,546","12,175","18,075","9,242","4,258","32.6","173,409","162,725","39,023","31,575","173,409","85,898","87,511","31,575","14,441","17,134","","247,681","239,986","7,695","239,986","194,173","2,431","10,044","304","174","69","179","2,603","242","314","748","263","506","406","124","189","68","25","23","73","30,546","7,695","962","2,724","1,168","83","","247,681","201,131","3,872","13,422","4,263","710","32,532","","247,681","118,091","114,206","444","139","3,302","129,590","111,448","1,835","9,026","2,371","148","120","4,642","49","4,593","86,393","","142,097","69,565","72,532"
"    Margin of Error","","*****","±117","±117","±26","±687","±688","±118","±130","±148","±120","±125","±562","±569","±80","±363","±368","±0.2","±45","±498","±614","±70","±45","±66","±48","±70","±53","±51","","*****","±812","±812","±812","±2,714","±429","±512","±149","±110","±54","±161","±309","±150","±135","±243","±144","±313","±235","±75","±83","±55","±29","±27","±70","±2,430","±812","±246","±479","±203","±57","","*****","±2,524","±402","±389","±340","±190","±2,536","","*****","*****","±738","±210","±69","±746","*****","±75","±249","±415","±184","±64","±70","±486","±41","±488","±176","","±1,228","±794","±707"
"    Percent","","247,681","50.0%","50.0%","8.5%","8.7%","8.1%","7.6%","7.1%","12.9%","11.9%","11.7%","5.9%","4.9%","7.3%","3.7%","1.7%","(X)","70.0%","65.7%","15.8%","12.7%","173,409","49.5%","50.5%","31,575","45.7%","54.3%","","247,681","96.9%","3.1%","96.9%","78.4%","1.0%","4.1%","0.1%","0.1%","0.0%","0.1%","1.1%","0.1%","0.1%","0.3%","0.1%","0.2%","0.2%","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","12.3%","3.1%","0.4%","1.1%","0.5%","0.0%","","247,681","81.2%","1.6%","5.4%","1.7%","0.3%","13.1%","","247,681","47.7%","46.1%","0.2%","0.1%","1.3%","52.3%","45.0%","0.7%","3.6%","1.0%","0.1%","0.0%","1.9%","0.0%","1.9%","(X)","","142,097","49.0%","51.0%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","(X)","±0.1","±0.2","±0.2","±0.1","(X)","±0.1","±0.1","(X)","±0.1","±0.1","","(X)","±0.3","±0.3","±0.3","±1.1","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1.0","±0.3","±0.1","±0.2","±0.1","±0.1","","(X)","±1.0","±0.2","±0.2","±0.1","±0.1","±1.0","","(X)","*****","±0.3","±0.1","±0.1","±0.3","*****","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","(X)","","(X)","±0.3","±0.3"
